record_id,performance_month,quarter,fiscal_year,zone,cluster,branch,wealth_manager_id,wealth_manager_name,employee_grade,product_category,product_name,source_system,target_amount,achieved_amount,revenue_amount,customer_count,active_clients,data_quality_issue,meeting_context
REC000454,2026-04-30,Q2,2026,"Kolkata North","BT Road","BT Road Main",WM078,"Rahul Khan",Manager,Asset,"Home Loan","Loan RA",19614303.00,17040408.13,202364.81,34,226,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC005227,2026-08-31,Q3,2026,"Greater Kolkata",Serampore,Rishra,WM038,"Ritwik Sharma",Manager,Asset,"Home Loan","Loan RA",11417272.00,10050642.52,69729.23,14,246,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002209,2026-07-31,Q3,2026,"Kolkata East","Salt Lake","Salt Lake Sector 5",WM034,"Ritwik Singh","Deputy Manager",Fee,Forex,"Forex RA",351868.00,312209.89,9252.87,24,194,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002560,2026-04-30,Q2,2026,"Kolkata Central","Park Street","Park Street Main",WM094,"Priya Mukherjee","Senior Manager",Fee,Forex,"Forex RA",400771.00,378028.79,8012.48,21,328,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000847,2026-08-31,Q3,2026,"Kolkata South",Gariahat,"Hindustan Park",WM043,"Subhojit Khan","Deputy Manager",Fee,Insurance,"LI RA",276452.00,269506.42,37163.17,6,111,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002843,2026-09-30,Q3,2026,"Kolkata East","EM Bypass",Kasba,WM064,"Subhojit Ghosh","Senior Manager",Fee,Insurance,"LI RA",220775.00,205417.62,35017.51,28,151,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001013,2026-09-30,Q3,2026,"Kolkata Central",Esplanade,"Esplanade Main",WM008,"Aarav Chatterjee","Senior Manager",Liability,CASA,"CASA RA",4982008.00,3826710.56,6765.48,7,134,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002356,2026-06-30,Q2,2026,"Greater Kolkata",Serampore,Rishra,WM047,"Anirban Singh",Manager,Liability,"Deposit Mobilization","Deposit RA",12314617.00,10835577.86,38598.99,10,316,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002422,2026-09-30,Q3,2026,"Kolkata South","New Alipore",Chetla,WM063,"Riya Chatterjee","Senior Manager",Liability,CASA,"CASA RA",4687465.00,4540810.08,8368.53,19,294,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC004184,2026-09-30,Q3,2026,"Kolkata South",Garia,Patuli,WM031,"Ishaan Roy",Manager,Investment,Demat,"Demat RA",55.00,47.00,29153.16,4,162,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003355,2026-08-31,Q3,2026,"Kolkata East",Rajarhat,"Chinar Park",WM079,"Tania Dutta","Deputy Manager",Asset,"Business Loan","Loan RA",13178127.00,12997053.74,83837.75,26,347,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001261,2026-07-31,Q3,2026,"Greater Kolkata",Serampore,Rishra,WM047,"Anirban Singh",Manager,Investment,Demat,"Demat RA",64.00,35.00,29832.73,13,275,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002170,2026-08-31,Q3,2026,"Kolkata North","Lake Town","VIP Road",WM033,"Ananya Ali","Senior Manager",Fee,Insurance,"LI RA",318245.00,280339.90,42968.79,33,137,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001143,2026-08-31,Q3,2026,"Greater Kolkata",Serampore,Rishra,WM038,"Ritwik Sharma",Manager,Asset,"Personal Loan","Loan RA",3696556.00,3031859.08,26307.26,33,107,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003379,2026-04-30,Q2,2026,"Kolkata East",Rajarhat,"Rajarhat Main",WM015,"Anirban Ghosh","Deputy Manager",Liability,CASA,"CASA RA",6345954.00,4772962.83,5787.03,37,290,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003759,2026-07-31,Q3,2026,"Greater Kolkata",Serampore,Rishra,WM010,"Priya Roy","Deputy Manager",Investment,"Mutual Fund","Investment RA",2777397.00,2130313.29,14132.34,17,233,INCORRECT_PRODUCT_NAME,"Q2-Q3 review for Q4 target achievement planning"
REC002885,2026-06-30,Q2,2026,"Kolkata South",Garia,Patuli,WM096,"Riya Saha","Deputy Manager",Investment,Demat,"Demat RA",17.00,16.00,8637.74,26,104,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002026,2026-05-31,Q2,2026,"Greater Kolkata",Serampore,Uttarpara,WM067,"Subhojit Chatterjee","Senior Manager",Liability,FD,"Deposit RA",5146095.00,2787603.31,6650.75,64,92,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003350,2026-07-31,Q3,2026,"Kolkata North","Lake Town","VIP Road",WM022,"Ritwik Singh",Manager,Investment,"Mutual Fund","Investment RA",5642308.00,4774342.59,44452.75,17,292,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003584,2026-09-30,Q3,2026,"Kolkata East","Salt Lake",Karunamoyee,WM099,"Aarav Roy","Deputy Manager",Asset,"Business Loan","Loan RA",9694402.00,8120621.21,32994.28,13,237,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000483,2026-04-30,Q2,2026,"Kolkata North","Lake Town","VIP Road",WM011,"Rahul Chakraborty","Senior Manager",Fee,Forex,"Forex RA",424063.00,397826.84,12784.87,20,197,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003127,2026-09-30,Q3,2026,"Kolkata Central",Esplanade,Chowringhee,WM024,"Ishaan Mitra","Senior Manager",Asset,"Personal Loan","Loan RA",1092590.00,951782.95,5622.09,23,143,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000603,2026-05-31,Q2,2026,"Kolkata Central","Park Street","Park Street Main",WM094,"Priya Mukherjee","Senior Manager",Asset,"Business Loan","Loan RA",7517272.00,5128417.40,35569.47,3,327,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003751,2026-06-30,Q2,2026,"Greater Kolkata",Serampore,Konnagar,WM100,"Arjun Singh","Deputy Manager",Fee,Insurance,"LI RA",435164.00,365647.16,37958.42,21,326,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000475,2026-04-30,Q2,2026,"Greater Kolkata",Serampore,Rishra,WM073,"Ishaan Khan","Deputy Manager",Asset,"Home Loan","Loan RA",5660521.00,4214763.15,44299.46,31,129,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003158,2026-07-31,Q3,2026,"Kolkata Central",Dalhousie,"BBD Bag",WM083,"Abhishek Agarwal","Senior Manager",Asset,"Personal Loan","Loan RA",2813334.00,2614160.52,28899.41,17,232,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001942,2026-09-30,Q3,2026,"Kolkata South","New Alipore",Chetla,WM045,"Sohini Singh",Manager,Liability,"Deposit Mobilization","Deposit RA",12182333.00,13058228.92,50195.36,27,238,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002231,2026-09-30,Q3,2026,"Kolkata South",Gariahat,Ballygunge,WM097,"Priya Banerjee","Senior Manager",Investment,"Mutual Fund","Investment RA",7075005.00,6001210.35,41572.06,24,331,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001366,2026-09-30,Q3,2026,"Kolkata East","Salt Lake",Karunamoyee,WM099,"Aarav Roy","Deputy Manager",Asset,"Home Loan","Loan RA",17719665.00,12022801.33,92884.81,10,249,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC005399,2026-05-31,Q2,2026,"Kolkata East",Rajarhat,"Rajarhat Main",WM015,"Anirban Ghosh","Deputy Manager",Fee,Cards,"Cards RA",111.00,105.00,136134.18,5,287,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002870,2026-04-30,Q2,2026,"Kolkata East","EM Bypass",Kasba,WM064,"Subhojit Ghosh","Senior Manager",Fee,Forex,"Forex RA",275944.00,219365.88,2371.82,22,153,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002712,2026-06-30,Q2,2026,"Kolkata Central",Dalhousie,"BBD Bag",WM016,"Subhojit Bose","Deputy Manager",Investment,Demat,"Demat RA",27.00,22.00,9627.66,10,172,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003115,2026-09-30,Q3,2026,"Greater Kolkata",Serampore,Uttarpara,WM084,"Rohan Sen","Senior Manager",Investment,"Mutual Fund","Investment RA",7702817.00,5549019.59,25704.42,6,321,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000897,2026-05-31,Q2,2026,"Kolkata Central","Camac Street","AJC Bose Road",WM036,"Priya Roy","Senior Manager",Liability,"Deposit Mobilization","Deposit RA",6303099.00,4735841.48,6499.73,55,166,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC005118,2026-09-30,Q3,2026,"Kolkata South",Gariahat,"Hindustan Park",WM043,"Subhojit Khan","Deputy Manager",Liability,FD,"Deposit RA",3550893.00,3673477.30,10181.46,20,181,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001320,2026-07-31,Q3,2026,"Kolkata Central","Park Street","Park Street Main",WM094,"Priya Mukherjee","Senior Manager",Liability,CASA,"CASA RA",4726467.00,3091095.81,4634.72,65,126,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000492,2026-07-31,Q3,2026,"Kolkata North","BT Road",Sinthi,WM080,"Nisha Khan","Senior Manager",Fee,Forex,"Forex RA",467249.00,468359.29,6882.42,2,157,INCORRECT_PRODUCT_NAME,"Q2-Q3 review for Q4 target achievement planning"
REC000972,2026-07-31,Q3,2026,"Kolkata Central","Park Street","Middleton Street",WM029,"Nisha Gupta","Senior Manager",Liability,FD,"Deposit RA",4036022.00,3479284.50,8974.56,44,330,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC004504,2026-09-30,Q3,2026,"Kolkata North","BT Road",Sinthi,WM080,"Nisha Khan","Senior Manager",Fee,Insurance,"LI RA",418943.00,385096.86,37954.86,28,165,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002351,2026-06-30,Q2,2026,"Kolkata North",Shyambazar,Bagbazar,WM093,"Abhishek Ali",Manager,Asset,"Business Loan","Loan RA",9511820.00,7619044.91,78883.81,15,248,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001690,2026-05-31,Q2,2026,"Kolkata North","Lake Town","Bangur Avenue",WM030,"Subhojit Banerjee","Senior Manager",Liability,CASA,"CASA RA",2605651.00,2598679.48,7931.70,22,191,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001462,2026-07-31,Q3,2026,"Kolkata North","Lake Town","Bangur Avenue",WM019,"Sneha Mukherjee","Senior Manager",Investment,"Mutual Fund","Investment RA",7451901.00,6502256.25,49678.13,33,176,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001697,2026-07-31,Q3,2026,"Kolkata Central","Park Street","Middleton Street",WM029,"Nisha Gupta","Senior Manager",Fee,Insurance,"LI RA",489003.00,0.00,0.00,29,148,NULL_AMOUNT,"Q2-Q3 review for Q4 target achievement planning"
REC000305,2026-05-31,Q2,2026,"Kolkata South",Garia,"Howrah Main",WM017,"Subhojit Roy","Senior Manager",Asset,"Home Loan","Loan RA",10245146.00,6657794.80,31107.32,17,118,WRONG_ZONE_CLUSTER_MAPPING,"Q2-Q3 review for Q4 target achievement planning"
REC001280,2026-06-30,Q2,2026,"Greater Kolkata",Serampore,Uttarpara,WM081,"Ritwik Mukherjee","Senior Manager",Liability,CASA,"CASA RA",3331695.00,2604248.10,5896.60,47,252,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001160,2026-08-31,Q3,2026,"Kolkata South","New Alipore","Behala Main",WM056,"Aditi Banerjee","Senior Manager",Fee,Insurance,"LI RA",290196.00,287713.63,41117.61,7,184,WRONG_ZONE_CLUSTER_MAPPING,"Q2-Q3 review for Q4 target achievement planning"
REC001420,2026-09-30,Q3,2026,"Kolkata Central",Esplanade,"Esplanade Main",WM065,"Aditi Roy","Deputy Manager",Investment,Demat,"Demat RA",78.00,37.00,19934.96,5,181,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC004092,2026-09-30,Q3,2026,"Kolkata South","New Alipore","New Alipore Main",WM042,"Sneha Bose",Manager,Investment,"Mutual Fund","Investment RA",6944903.00,7489065.16,46422.48,21,320,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000251,2026-04-30,Q2,2026,"Kolkata South",Behala,Thakurpukur,WM050,"Subhojit Ghosh","Senior Manager",Fee,Insurance,"LI RA",415780.00,368730.07,58849.62,7,175,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC000066,2026-04-30,Q2,2026,"Kolkata South",Behala,Thakurpukur,WM057,"Sohini Gupta",Manager,Asset,"Business Loan","Loan RA",10665981.00,9823019.57,40498.16,10,289,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003192,2026-09-30,Q3,2026,"Kolkata Central","Park Street","Middleton Street",WM028,"Aditi Singh","Senior Manager",Asset,"Home Loan","Loan RA",4402295.00,2822491.42,28115.69,3,135,INCORRECT_PRODUCT_NAME,"Q2-Q3 review for Q4 target achievement planning"
REC004803,2026-09-30,Q3,2026,"Greater Kolkata",Serampore,Rishra,WM073,"Ishaan Khan","Deputy Manager",Asset,"Personal Loan","Loan RA",1071801.00,825117.71,7197.73,23,88,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003220,2026-07-31,Q3,2026,"Kolkata North",Shyambazar,Bagbazar,WM018,"Moumita Chakraborty",Manager,Asset,"Home Loan","Loan RA",14259249.00,11927362.08,126823.91,19,235,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001687,2026-06-30,Q2,2026,"Greater Kolkata",Serampore,Rishra,WM038,"Ritwik Sharma",Manager,Liability,"Deposit Mobilization","Deposit RA",12786729.00,11276567.72,30841.36,39,207,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003399,2026-08-31,Q3,2026,"Kolkata Central",Esplanade,Chowringhee,WM024,"Ishaan Mitra","Senior Manager",Asset,"Personal Loan","Loan RA",3063188.00,2614376.73,17128.35,20,257,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002633,2026-04-30,Q2,2026,"Kolkata North","BT Road",Baranagar,WM059,"Riya Agarwal","Deputy Manager",Investment,"Mutual Fund","Investment RA",7260039.00,5449862.96,32963.78,5,80,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002528,2026-06-30,Q2,2026,"Kolkata East","EM Bypass",Kasba,WM064,"Subhojit Ghosh","Senior Manager",Investment,Demat,"Demat RA",42.00,37.00,29111.31,9,102,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002779,2026-06-30,Q2,2026,"Kolkata Central","Park Street","Middleton Street",WM028,"Aditi Singh","Senior Manager",Liability,CASA,"CASA RA",2007670.00,2082143.58,3904.69,19,323,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003117,2026-07-31,Q3,2026,"Kolkata South",Gariahat,Ballygunge,WM097,"Priya Banerjee","Senior Manager",Fee,Forex,"Forex RA",278407.00,244649.90,4164.59,35,102,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC005093,2026-06-30,Q2,2026,"Greater Kolkata",Serampore,Rishra,WM047,"Anirban Singh",Manager,Asset,"Business Loan","Loan RA",11458269.00,7168207.79,37189.17,33,193,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002552,2026-06-30,Q2,2026,"Kolkata South",Gariahat,Golpark,WM051,"Nisha Singh",Manager,Fee,Insurance,"LI RA",423812.00,323963.06,47733.84,12,301,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003536,2026-04-30,Q2,2026,"Kolkata East",Rajarhat,Teghoria,WM012,"Ritwik Dutta","Senior Manager",Investment,Demat,"Demat RA",69.00,63.00,54432.55,25,272,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001223,2026-08-31,Q3,2026,"Kolkata East","Salt Lake","Salt Lake Sector 5",WM034,"Ritwik Singh","Deputy Manager",Asset,"Home Loan","Loan RA",14586865.00,11092730.98,102669.08,12,233,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001765,2026-04-30,Q2,2026,"Kolkata Central",Esplanade,Chowringhee,WM024,"Ishaan Mitra","Senior Manager",Asset,"Personal Loan","Loan RA",1870570.00,1398003.04,14049.58,27,272,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002426,2026-06-30,Q2,2026,"Kolkata South",Behala,"Behala Main",WM056,"Aditi Banerjee","Senior Manager",Liability,"Deposit Mobilization","Deposit RA",9356275.00,8068159.15,25384.43,54,258,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002424,2026-07-31,Q3,2026,"Kolkata North","Lake Town","Bangur Avenue",WM030,"Subhojit Banerjee","Senior Manager",Liability,"Deposit Mobilization","Deposit RA",9353517.00,8542745.52,19400.39,61,297,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002120,2026-05-31,Q2,2026,"Kolkata East",Rajarhat,"Rajarhat Main",WM015,"Anirban Ghosh","Deputy Manager",Asset,"Personal Loan","Loan RA",2198038.00,2021440.79,21968.56,23,350,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003696,2026-05-31,Q2,2026,"Greater Kolkata",Howrah,"Howrah Main",WM017,"Subhojit Roy","Senior Manager",Investment,Demat,"Demat RA",63.00,43.00,29901.97,32,140,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002029,2026-04-30,Q2,2026,"Kolkata East","EM Bypass","Science City",WM068,"Sohini Mukherjee","Senior Manager",Asset,"Business Loan","Loan RA",12610840.00,13143134.56,124743.64,7,302,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003743,2026-06-30,Q2,2026,"Kolkata North",Shyambazar,Bagbazar,WM093,"Abhishek Ali",Manager,Liability,FD,"Deposit RA",3064729.00,3507001.76,13011.89,60,329,INCORRECT_PRODUCT_NAME,"Q2-Q3 review for Q4 target achievement planning"
REC004251,2026-04-30,Q2,2026,"Kolkata South",Garia,"Garia Main",WM077,"Tania Ghosh",Manager,Fee,Insurance,"LI RA",829968.00,754226.95,122059.24,11,267,INCORRECT_PRODUCT_NAME,"Q2-Q3 review for Q4 target achievement planning"
REC003374,2026-07-31,Q3,2026,"Kolkata South",Gariahat,Ballygunge,WM097,"Priya Banerjee","Senior Manager",Investment,"Mutual Fund","Investment RA",7471361.00,9277690.05,52467.60,8,272,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002659,2026-08-31,Q3,2026,"Kolkata North","Lake Town","Bangur Avenue",WM030,"Subhojit Banerjee","Senior Manager",Liability,"Deposit Mobilization","Deposit RA",9090182.00,8379276.85,24844.93,17,103,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC003228,2026-09-30,Q3,2026,"Kolkata South","New Alipore",Alipore,WM072,"Anirban Bose",Manager,Liability,FD,"Deposit RA",5617669.00,5270602.38,20272.49,48,123,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC001062,2026-07-31,Q3,2026,"Kolkata Central","Camac Street","AJC Bose Road",WM036,"Priya Roy","Senior Manager",Liability,FD,"Deposit RA",5502630.00,4383526.09,15841.48,32,212,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002787,2026-04-30,Q2,2026,"Kolkata South",Behala,"Behala Main",WM056,"Aditi Banerjee","Senior Manager",Liability,FD,"Deposit RA",6068667.00,4863616.75,19176.55,59,137,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002184,2026-05-31,Q2,2026,"Kolkata North","BT Road",Sinthi,WM080,"Nisha Khan","Senior Manager",Asset,"Personal Loan","Loan RA",3344679.00,2107687.27,15927.28,27,139,Clean,"Q2-Q3 review for Q4 target achievement planning"
REC002667,2026-06-30,Q2,2026,"Kolkata East",Rajarhat,"Chinar Park",WM052,"Subhojit Sen","Deputy Manager",Fee,Cards,"Cards RA",28.00,24.00,21362.08,11,269,Clean,"Q2-Q3 review for Q4 target achievement planning"
